id,text,label
2267,UEFA European Championship,quirky
2408,Tell me about reasons of winning of trump.,quirky
428,Is there any event today in my calendar?,query
862,I hope tomorrow will be better.,quirky
927,When is my doctor's appointment,query
1000,What to do next on events,query
701,There is a pile of torn paper on the rug to suck up,cleaning
1034,lights at percent,hue_lightchange
1633,Google find and play Florida Georgia Line the one with Nelly.,music
470,any meeting between 6 to 7pm,query
1906,PDA: Save this channel on Pandora please,likeness
366,Is the year 2018 a leap year?,query
1539,Where is the venue in which the marriage of Tom is going to takeplace,query
2303,open grubhub,order
1297,record,quirky
9,play The Weeknd,music
850,Surrounding environment,quirky
452,how far is it from New York to Japan,query
1903,how's it going?,quirky
43,20-10,maths
896,Loop this track.,settings
976,date in new york,query
122,i am sad,quirky
1711,Switch to night light setting.,hue_lightchange
619,"PDA, Open Internet",factoid
1558,wooo!,quirky
2309,repeat this song,settings
954,what's up olly,greet
853,How do I duct tape a goose.to a.pig?,quirky
900,pls turn on all the outdoor lights,hue_lighton
1648,Turn on all upstairs lights.,hue_lighton
8,PDA what is the answer to...,maths
206,Gather all my songs from Madonna,music
1137,"In how many hours will it be midnight in London, England?",query
559,If there were 10 easy steps to make myself rich what would they be?,quirky
3,Hey PDA!,greet
2059,Show me best in class theatre,movies
1717,Waiter at Outback was rude,post
1074,Did you meet her?,quirky
2297,"I need to have location services on, can you check?",quirky
1374,Was Paul Walker working on any movies besides the Fast and the Furious when he died?,factoid
1712,What's for today?,query
1339,"What is the time in India, when the time in US is 12pm",convert
1741,Hello how are you?,greet
1773,object search,definition
1925,repeat music,settings
959,Let's play Canasta,game
888,Physical education drill Marilyn,query
1485,Play music on shuffle,music
1738,when is the event going to start?,query
2196,Can I take food home here?,query
396,your salary,quirky
1315,Make the volume to zero,volume_mute
2439,How doespopulation play a role in a countries econonmy?,factoid
2415,please repeat my shopping list,query
1473,Play The Circle,audiobook
2328,I wish it had wider range of conversation,quirky
154,turn <unk> on,coffee
1830,What's a parsec?,factoid
2428,influx,traffic
1983,Turn on the lights,hue_lighton
341,gossiping about celebrities,quirky
2166,Can you please describe the I phone seven?,definition
934,What friends were in popular places the last day?,query
1904,who is going to my meeting at 9AM?,query
1999,go to favourite list,podcasts
826,Change the audio settings,volume_other
234,downloads management,quirky
576,lady gaga,music
38,thumbs down,dislikeness
391,This is a good song. Put it on repeat.,likeness
863,dont do that again.,negate
1675,Tell more about this event,query
930,"Need Information about events, before shift ends.",query
309,I would like to know her history,quirky
220,what is the purpose of,quirky
2025,location,definition
1250,Investing,quirky
2515,I need to let my small group know the location has changed,set
1386,When is this going to happen,query
226,PDA I need you to add Gary's email to my favorites.,addcontact
1146,I want my PDA to tell me when a new anime season will come out,set
2113,Set a notification for sports game.,set
620,use shortcut,music
2214,Change my music player volume to 80%,volume_up
1482,Drop (sender) a line,sendemail
512,Please talk softer.,volume_down
49,"Olly, guide me to the restaurant",locations
1493,Olly you have to check out Kfix he's the best,likeness
1673,Bingo,quirky
917,goodnight,volume_mute
52,Is the brightness of my screen running low?,quirky
368,Olly you need to find an alternate route to my destination,query
1828,volume check,set
440,Please give me the wnning lottory numbers for this weekend.,quirky
878,it will be good if you yellowish the light.,hue_lightchange
2091,Play Hungry Eyes.,music
557,Cancel my meeting with Lisa on Tuesday and reschedule it for Thursday,set
753,start chapter five of physics for future presidents,audiobook
2130,open company name and find forms,post
782,Tell me everything about UMF,quirky
1039,Alexa what are todays country hits,music
350,Stay quite,volume_mute
443,blot me the dentist appointment on Tuesday 21 March 2017,set
2335,Can you find Animal Crossing,game
1656,Make me a capuccino.,coffee
